fps,case,time,step,state,speed,x,y,z,sprint,dodge,input_paused,left_foot_x,left_foot_z,right_foot_x,right_foot_z
30,6,0.6000,1,JumpLoop,0.00,0.00,-900.00,311.60,0,0,0,19.00,257.24,16.03,306.09
30,6,0.6333,1,JumpLoop,0.00,0.00,-900.00,313.12,0,0,0,15.03,250.82,10.48,301.62
30,6,0.6667,1,JumpLoop,0.00,0.00,-900.00,313.56,0,0,0,12.54,246.73,6.90,297.74
30,6,0.7000,1,JumpLoop,0.00,0.00,-900.00,312.90,0,0,0,12.06,244.25,5.87,295.11
30,6,0.7333,1,JumpLoop,0.00,0.00,-900.00,311.16,0,0,0,12.45,242.33,6.01,293.15
30,6,0.7667,1,JumpLoop,0.00,0.00,-900.00,308.32,0,0,0,12.76,239.41,5.95,290.21
30,6,0.8000,1,JumpLoop,0.00,0.00,-900.00,304.40,0,0,0,13.09,235.40,5.61,286.14
30,6,0.8333,1,JumpLoop,0.00,0.00,-900.00,299.39,0,0,0,13.46,230.32,5.09,280.95
30,6,0.8667,1,JumpLoop,0.00,0.00,-900.00,293.29,0,0,0,13.82,224.16,4.46,274.66
30,6,0.9000,1,JumpLoop,0.00,0.00,-900.00,286.10,0,0,0,14.11,216.92,3.82,267.30
30,6,0.9333,1,JumpLoop,0.00,0.00,-900.00,277.82,0,0,0,14.31,208.60,3.26,258.87
30,6,0.9667,1,JumpLoop,0.00,0.00,-900.00,268.46,0,0,0,14.37,199.21,2.86,249.40
30,6,1.0000,1,JumpLoop,0.00,0.00,-900.00,258.00,0,0,0,14.28,188.73,2.49,238.85
30,6,1.0333,1,JumpLoop,0.00,0.00,-900.00,246.46,0,0,0,14.07,177.16,2.13,227.23
30,6,1.0667,1,JumpLoop,0.00,0.00,-900.00,233.82,0,0,0,13.79,164.53,1.80,214.53
30,6,1.1000,1,JumpLoop,0.00,0.00,-900.00,220.10,0,0,0,13.49,150.83,1.54,200.77
30,6,1.1333,1,JumpLoop,0.00,0.00,-900.00,205.29,0,0,0,13.19,136.08,1.39,185.97
30,6,1.1667,1,JumpLoop,0.00,0.00,-900.00,189.39,0,0,0,12.82,120.25,1.35,170.12
30,6,1.2000,1,JumpLoop,0.00,0.00,-900.00,172.40,0,0,0,12.37,103.36,1.50,153.31
30,6,1.2333,1,JumpLoop,0.00,0.00,-900.00,154.32,0,0,0,11.84,85.39,1.83,135.50
30,6,1.2667,1,JumpLoop,0.00,0.00,-900.00,135.16,0,0,0,11.32,66.33,2.26,116.65
30,6,1.3000,1,JumpLoop,0.00,0.00,-900.00,114.90,0,0,0,10.85,46.16,2.75,96.71
30,6,1.3333,1,JumpLoop,0.00,0.00,-900.00,93.56,0,0,0,10.50,24.89,3.23,75.64
30,6,1.3667,1,JumpEnd,0.00,0.00,-900.00,90.15,0,0,1,9.89,20.79,2.86,70.90
30,6,1.4000,1,JumpEnd,0.00,0.00,-900.00,90.15,0,0,1,9.24,16.04,-2.50,60.10
30,6,1.4333,1,JumpEnd,0.00,0.00,-900.00,90.15,0,0,1,9.14,11.27,-15.25,40.42
30,6,1.4667,1,JumpEnd,0.00,0.00,-900.00,90.15,0,0,1,7.56,10.90,-28.01,25.29
30,6,1.5000,1,JumpEnd,0.00,0.00,-900.00,90.15,0,0,0,4.12,10.99,-37.49,14.02
30,6,1.5333,1,JumpEnd,0.00,0.00,-900.00,90.15,0,0,0,2.39,11.35,-39.88,9.80
30,6,1.5667,1,JumpEnd,0.00,0.00,-900.00,90.15,0,0,0,2.43,12.17,-38.06,10.11
30,6,1.6000,1,JumpEnd,0.00,0.00,-900.00,90.15,0,0,0,2.53,13.12,-36.96,10.14
30,6,1.6333,1,JumpEnd,0.00,0.00,-900.00,90.15,0,0,0,2.62,14.04,-36.52,9.92
30,6,1.6667,1,JumpEnd,0.00,0.00,-900.00,90.15,0,0,0,2.91,14.97,-36.28,9.83
30,6,1.7000,2,JumpEnd,0.00,0.00,-900.00,90.15,0,0,0,3.39,15.80,-36.19,9.81
30,6,1.7333,2,JumpEnd,0.00,0.00,-900.00,90.15,0,0,0,4.09,16.47,-36.23,9.80
30,6,1.7667,2,JumpEnd,0.00,0.00,-900.00,90.15,0,0,0,5.07,16.95,-36.30,9.82
30,6,1.8000,2,JumpEnd,0.00,0.00,-900.00,90.15,0,0,0,6.27,17.16,-36.31,9.90
30,6,1.8333,2,JumpEnd,0.00,0.00,-900.00,90.15,0,0,0,7.73,16.97,-36.24,9.95
30,6,1.8667,2,JumpEnd,0.00,0.00,-900.00,90.15,0,0,0,9.82,16.14,-36.23,9.91
30,6,1.9000,2,JumpEnd,0.00,0.00,-900.00,90.15,0,0,0,12.46,14.66,-36.28,9.82
30,6,1.9333,2,JumpEnd,0.00,0.00,-900.00,90.15,0,0,0,15.62,12.62,-36.36,9.70
30,6,1.9667,2,JumpEnd,0.00,0.00,-900.00,90.15,0,0,0,19.50,10.53,-36.47,9.59
30,6,2.0000,2,JumpEnd,0.00,0.00,-900.00,90.15,0,0,0,24.45,9.64,-36.58,9.50
30,6,2.0333,2,JumpEnd,0.00,0.00,-900.00,90.15,0,0,0,29.17,9.07,-36.66,9.45
30,6,2.0667,2,JumpEnd,0.00,0.00,-900.00,90.15,0,0,0,29.06,8.98,-36.68,9.45
30,6,2.1000,2,JumpEnd,0.00,0.00,-900.00,90.15,0,0,0,29.05,8.98,-36.69,9.45
30,6,2.1333,2,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.11,9.06,-36.68,9.45
30,6,2.1667,2,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.15,9.13,-36.68,9.45
30,6,2.2000,2,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.15,9.14,-36.70,9.44
30,6,2.2333,2,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.15,9.12,-36.71,9.43
30,6,2.2667,2,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.14,9.11,-36.72,9.43
30,6,2.3000,2,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.13,9.09,-36.72,9.42
30,6,2.3333,2,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.13,9.08,-36.73,9.42
30,6,2.3667,2,Ground,0.00,0.00,-900.00,90.15,0,0,0,29.12,9.07,-36.74,9.41
30,7,0.0000,0,Ground,0.00,0.00,-900.00,98.00,0,0,0,29.06,16.78,-36.75,17.26
30,7,0.0333,0,JumpStart,0.00,0.00,-900.00,119.12,0,0,0,17.75,34.18,-41.13,37.44
30,7,0.0667,0,JumpStart,0.00,0.00,-900.00,139.16,0,0,0,1.69,61.53,-29.66,69.54
30,7,0.1000,0,JumpStart,0.00,0.00,-900.00,158.10,0,0,0,1.77,83.83,-15.59,99.64
30,7,0.1333,1,JumpStart,0.00,0.00,-900.00,175.96,0,0,0,10.13,106.48,-0.51,125.66
30,7,0.1667,1,JumpStart,0.00,0.00,-900.00,192.72,0,0,0,12.07,131.32,11.45,152.51
30,7,0.2000,1,JumpStart,0.00,0.00,-900.00,208.40,0,0,0,9.59,152.19,17.64,176.57
30,7,0.2333,1,JumpStart,0.00,0.00,-900.00,222.99,0,0,0,10.19,175.18,23.60,201.07
30,7,0.2667,1,JumpStart,0.00,0.00,-900.00,236.49,0,0,0,14.24,202.45,29.59,226.67
30,7,0.3000,1,JumpStart,0.00,0.00,-900.00,248.90,0,0,0,16.59,230.69,32.49,250.00
30,7,0.3333,1,JumpStart,0.00,0.00,-900.00,260.22,0,0,0,16.74,256.15,32.89,269.59
